PSU	LC	Mate	NEM 	OC	OH	Buenas	Malas	Omitidas	Nota	Calculo	 R1 	R2 	R3 	R4 
652.85	743	664	579	607	0	32	5	3	762	762	92.3	69.2	62.5	100
698.6	572	812	620	638	0	30	3	7	747	747	69.2	76.9	75	83.3
662.3	626	660	702	646	630	22	4	14	669	669	53.8	46.2	75	50
717.05	700	737	702	699	689	32	6	2	759	759	76.9	76.9	87.5	83.3
673	682	718	620	585	0	27	4	9	717	717	76.9	38.5	75	100
669.3	614	648	744	689	0	29	4	7	736	736	69.2	69.2	87.5	66.7
666.55	603	701	682	600	0	24	7	9	681	681	53.8	53.8	62.5	83.3
685.7	614	678	764	668	0	28	6	6	721	721	76.9	61.5	62.5	83.3
663.9	592	756	538	708	0	26	4	10	707	707	69.2	61.5	62.5	66.7
704.95	659	756	661	677	0	28	4	8	726	726	69.2	69.2	75	66.7
676.85	776	640	661	684	0	19	9	12	629	629	53.8	38.5	50	50
689.95	691	718	641	684	0	26	3	11	709	709	69.2	53.8	62.5	83.3
661.45	614	718	579	708	0	28	6	6	721	721	84.6	53.8	75	66.7
707.2	608	812	620	652	0	35	3	2	795	795	84.6	84.6	87.5	100
657.65	608	737	538	699	0	24	5	11	686	686	61.5	38.5	75	83.3
686.2	682	664	764	589	600	19	14	7	617	617	30.8	53.8	50	66.7
666.15	587	682	723	611	0	23	7	10	671	671	61.5	61.5	50	50
663.15	626	688	661	631	0	30	7	3	738	738	69.2	69.2	75	100
699.3	603	831	579	600	560	32	5	3	762	762	92.3	61.5	75	100
683.75	557	812	579	622	0	27	13	0	695	695	76.9	53.8	50	100
666.4	691	701	579	680	0	31	6	3	750	750	76.9	76.9	87.5	66.7
725.65	700	737	744	680	0	36	4	0	802	802	100	84.6	87.5	83.3
663.15	639	701	620	649	587	24	7	9	681	681	76.9	53.8	37.5	66.7
704.65	700	673	764	708	0	22	14	4	645	645	61.5	69.2	25	50
664.2	659	664	682	631	0	19	9	12	629	629	53.8	53.8	12.5	66.7
698.35	626	756	661	677	0	25	8	7	688	688	84.6	38.5	37.5	100
662.7	639	656	702	642	582	17	9	14	610	610	46.2	46.2	25	50
661.3	691	688	620	585	564	16	11	13	595	595	53.8	30.8	25	50
687.95	528	756	723	614	0	29	7	4	728	728	84.6	69.2	50	83.3
667.45	592	718	641	657	0	19	5	16	638	638	61.5	23.1	50	66.7
674.05	651	701	620	734	0	35	5	0	790	790	92.3	84.6	87.5	83.3
680.2	603	718	682	660	0	34	6	0	778	778	84.6	84.6	75	100
672.9	651	682	702	603	0	16	7	17	605	605	38.5	30.8	37.5	66.7
670.65	633	673	702	657	0	21	3	16	662	662	46.2	53.8	50	66.7
675.05	620	756	599	611	547	27	7	6	709	709	69.2	53.8	87.5	66.7
678.75	659	678	723	611	0	21	9	10	648	648	53.8	46.2	37.5	83.3
674.1	659	678	702	617	608	26	4	10	707	707	84.6	53.8	37.5	83.3
659.9	645	694	620	611	636	22	2	16	674	674	61.5	30.8	50	100
682.15	614	737	620	727	0	22	11	7	652	652	61.5	38.5	37.5	100
677	682	701	641	649	0	27	3	10	719	719	69.2	46.2	75	100
729.9	754	756	682	684	613	30	3	7	747	747	69.2	76.9	62.5	100
671.2	633	756	558	649	613	36	4	0	802	802	92.3	84.6	87.5	100
665.85	700	673	620	680	0	27	11	2	700	700	69.2	53.8	75	83.3
663.3	667	656	682	642	0	19	6	15	636	636	46.2	38.5	50	66.7
667.7	651	756	538	628	0	26	9	5	695	695	61.5	53.8	87.5	66.7
695.1	608	737	723	611	0	23	2	15	683	683	61.5	53.8	37.5	83.3
658.15	603	706	641	596	0	21	6	13	655	655	69.2	38.5	37.5	66.7
663	582	737	599	652	0	29	9	2	724	724	69.2	76.9	62.5	83.3
710.95	667	756	661	721	0	36	4	0	802	802	100	76.9	87.5	100
659.6	620	737	579	592	521	24	8	8	679	679	61.5	61.5	37.5	83.3
692.15	651	706	723	635	0	23	8	9	669	669	53.8	46.2	62.5	83.3
657.45	567	718	641	607	0	24	10	6	674	674	46.2	53.8	75	83.3
672.55	674	694	641	652	0	19	5	16	638	638	53.8	38.5	50	50
678.05	620	718	661	657	0	33	7	0	766	766	92.3	76.9	75	83.3
677.55	639	701	682	638	617	15	5	20	600	600	30.8	38.5	25	66.7
659.15	597	688	661	646	649	21	2	17	664	664	46.2	46.2	62.5	66.7
707.6	587	774	702	664	0	27	7	6	709	709	69.2	69.2	50	83.3
675.7	674	682	682	635	0	24	8	8	679	679	69.2	46.2	62.5	66.7
722.8	710	706	764	721	0	32	3	5	766	766	92.3	69.2	87.5	66.7
683	651	688	702	677	0	28	2	10	731	731	61.5	53.8	87.5	100
662.25	597	706	641	649	0	27	7	6	709	709	84.6	46.2	75	66.7
683.7	587	718	702	677	0	29	3	8	738	738	92.3	61.5	37.5	100
676.55	626	756	599	614	0	27	5	8	714	714	69.2	69.2	50	83.3
660.35	562	718	661	596	0	27	7	6	709	709	61.5	69.2	75	66.7
665.25	626	737	558	689	636	34	5	1	781	781	92.3	76.9	75	100
706.7	682	737	661	734	0	36	1	3	809	809	92.3	84.6	87.5	100
671.3	651	756	558	614	0	23	5	12	676	676	69.2	46.2	50	66.7
699.85	667	756	641	660	0	33	6	1	769	769	100	69.2	75	83.3
677.55	608	669	744	689	0	25	5	10	695	695	69.2	38.5	75	83.3
691.15	659	737	620	727	0	29	8	3	726	726	76.9	76.9	62.5	66.7
678.05	587	812	517	660	0	28	5	7	724	724	76.9	69.2	50	83.3
666.45	659	682	661	625	0	28	7	5	719	719	76.9	53.8	87.5	66.7
692.05	626	756	661	614	517	24	9	7	676	676	69.2	53.8	50	66.7
660.05	572	756	599	557	0	29	7	4	728	728	76.9	53.8	87.5	83.3
658.15	626	664	661	689	0	16	15	9	586	586	38.5	38.5	25	66.7
658.05	608	701	620	660	0	28	7	5	719	719	84.6	61.5	62.5	66.7
701.3	700	718	682	677	0	32	6	2	759	759	76.9	84.6	62.5	100
623.35	639	669	538	538	600	24	9	7	676	676	69.2	69.2	37.5	50
667.45	633	706	599	734	0	27	7	6	709	709	61.5	69.2	62.5	83.3
670.75	603	718	641	668	0	27	13	0	695	695	76.9	69.2	37.5	83.3
683.85	682	673	682	741	0	26	5	9	705	705	92.3	38.5	62.5	66.7
717.4	682	756	682	703	0	36	3	1	804	804	100	84.6	75	100
661.25	592	688	661	680	0	30	6	4	740	740	69.2	76.9	87.5	66.7
702.75	633	756	641	757	682	29	9	2	724	724	69.2	76.9	50	100
656.55	633	648	723	576	0	16	4	20	612	612	38.5	46.2	12.5	66.7
676.45	732	688	579	757	708	23	14	3	655	655	61.5	46.2	62.5	66.7
701	667	812	538	677	547	28	4	8	726	726	61.5	61.5	87.5	83.3
650.25	582	678	661	635	578	25	7	8	690	690	69.2	53.8	62.5	66.7
627.05	572	678	579	628	0	29	6	5	731	731	92.3	61.5	50	83.3
702.8	659	737	661	741	717	30	4	6	745	745	76.9	53.8	87.5	100
651.1	597	660	682	642	0	22	9	9	657	657	53.8	61.5	37.5	66.7
681.3	674	718	620	684	0	28	9	3	714	714	92.3	53.8	62.5	66.7
669.9	645	669	723	589	591	18	11	11	614	614	53.8	46.2	25	50
655	645	718	538	684	591	34	2	4	788	788	92.3	84.6	75	83.3
676.75	639	706	661	660	0	30	2	8	750	750	69.2	61.5	87.5	100
652.05	626	660	661	646	0	17	8	15	612	612	46.2	38.5	37.5	50
651.5	639	694	620	564	0	25	7	8	690	690	76.9	46.2	50	83.3
661.05	620	682	661	649	0	30	6	4	740	740	84.6	53.8	75	100
665.75	592	669	744	603	506	20	7	13	643	643	38.5	46.2	50	83.3
657.75	576	756	579	576	0	28	6	6	721	721	76.9	53.8	75	83.3
667.7	587	774	558	625	0	23	12	5	660	660	61.5	53.8	50	66.7
667.65	645	688	661	638	560	27	11	2	700	700	69.2	69.2	62.5	66.7
702.6	645	774	620	703	0	36	3	1	804	804	92.3	84.6	87.5	100
664.4	667	624	764	592	591	19	8	13	631	631	46.2	53.8	37.5	50
642.6	NA	NA	NA	NA	NA	24	12	4	669	669	61.5	46.2	75	66.7
649.35	700	648	599	680	0	21	4	15	660	660	61.5	38.5	37.5	83.3
692.35	667	701	702	680	0	28	10	2	712	712	76.9	61.5	75	66.7
684.05	659	718	641	689	0	37	3	0	814	814	92.3	100	75	100
714.9	691	694	764	734	0	33	7	0	766	766	84.6	100	50	83.3
656.4	514	774	538	708	0	26	6	8	702	702	69.2	46.2	62.5	100
668.9	700	660	682	614	0	24	6	10	683	683	46.2	69.2	37.5	100
704.65	592	774	703	622	541	36	4	0	802	802	92.3	92.3	75	100
643.75	608	660	641	649	0	25	6	9	693	693	61.5	53.8	62.5	83.3
651.25	608	688	599	703	0	24	8	8	679	679	61.5	46.2	62.5	83.3
719.8	633	774	682	600	744	27	9	4	705	705	69.2	53.8	75	83.3
655.65	784	664	517	649	708	18	7	15	624	624	46.2	38.5	37.5	66.7
709.05	732	756	599	727	677	21	3	16	662	662	61.5	38.5	50	66.7
649.5	538	682	682	469	645	26	6	8	702	702	69.2	61.5	62.5	66.7
656.1	567	718	620	646	0	31	8	1	745	745	84.6	69.2	75	83.3
662.55	691	701	558	622	694	23	2	15	683	683	46.2	38.5	75	100
666.9	639	706	620	664	0	27	4	9	717	717	69.2	69.2	50	83.3
716.1	667	737	723	703	0	29	4	7	736	736	76.9	53.8	75	100
660.4	626	660	682	677	604	24	6	10	683	683	69.2	30.8	75	83.3
671.65	667	694	641	657	630	30	7	3	738	738	76.9	69.2	62.5	100
660.1	639	669	661	660	0	20	6	14	645	645	38.5	46.2	50	83.3
660.55	682	706	579	617	0	32	2	6	769	769	76.9	76.9	87.5	83.3
719.65	651	737	764	668	660	21	8	11	650	650	38.5	38.5	62.5	100
709.2	691	694	764	677	0	34	4	2	783	783	84.6	84.6	75	100
691.9	639	737	661	672	0	35	5	0	790	790	84.6	92.3	75	100
673.9	614	652	744	532	717	16	13	11	591	591	53.8	30.8	37.5	33.3
692.3	674	664	764	677	670	27	3	10	719	719	69.2	53.8	62.5	100
684.7	633	682	702	757	0	34	4	2	783	783	92.3	76.9	75	100
656.8	626	652	682	677	0	22	5	13	667	667	53.8	53.8	62.5	50
669	667	669	661	693	0	25	7	8	690	690	69.2	46.2	62.5	83.3
742.55	710	701	826	786	708	28	7	5	719	719	76.9	53.8	62.5	100
664.45	674	645	682	689	0	20	4	16	650	650	46.2	53.8	37.5	66.7
689	691	664	744	660	0	20	8	12	641	641	76.9	23.1	25	83.3
708.6	700	756	620	734	682	28	2	10	731	731	76.9	61.5	62.5	83.3
656.65	608	718	599	622	622	30	6	4	740	740	84.6	53.8	87.5	83.3
673.85	582	701	682	715	0	30	3	7	747	747	76.9	61.5	75	100
668.85	608	706	641	693	0	23	10	7	664	664	61.5	61.5	25	83.3
682.05	691	701	620	734	622	17	15	8	595	595	38.5	46.2	25	66.7
673.2	667	678	682	642	587	29	5	6	733	733	100	61.5	50	66.7
658.55	682	701	558	672	0	25	6	9	693	693	53.8	53.8	62.5	100
681.15	608	673	764	657	0	18	5	17	629	629	46.2	38.5	50	50
657.25	674	669	620	664	0	30	6	4	740	740	92.3	61.5	62.5	83.3
